Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0115ZZ9,2007.03,3360,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2008.03,3861,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2009.03,4120,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2010.03,4195,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2011.03,4488,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2012.03,4589,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2013.03,4427,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2014.03,5061,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2015.03,4827,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2016.03,4680,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2017.03,5111,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2018.03,5598,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2019.03,5914,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2020.03,6102,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2021.03,6156,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZ9,2022.03,0,PROVISIONAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Total All Industries,,
RNAA.SG01NAC34B0115ZZA,2000.03,176,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2001.03,202,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2002.03,216,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2003.03,220,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2004.03,229,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2005.03,230,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2006.03,247,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2007.03,280,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2008.03,316,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2009.03,330,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2010.03,330,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2011.03,382,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2012.03,419,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
